Sat1.A1ModJulian          Sat1.EarthMJ2000Eq.X      Sat1.EarthMJ2000Eq.Y      Sat1.EarthMJ2000Eq.Z      Sat1.EarthMJ2000Eq.VX     Sat1.EarthMJ2000Eq.VY     Sat1.EarthMJ2000Eq.VZ     Sat1.ElapsedSecs          
30538.00005826831         7095.872663892587         -2.522824906894015e-11    1299.244290571876         -0.03296818404160162      7.355020881374159         0.9946466850481761        0                         
30538.00017400905         7095.165953133936         73.54890275050872         1309.121365803234         -0.1083650086496992       7.354629453576782         0.9807522468055823        10.00000013737008         
30538.00049415077         7089.287564346945         276.9223243115396         1335.712500660554         -0.316590089413681        7.349483463105366         0.9418252995949458        37.66024445649236         
30538.00141205143         7040.616159357943         858.2170564508154         1405.865928736688         -0.9096826034915162       7.30185043888721          0.8264522893989398        116.9668617309071         
30538.0025455833          6916.13451763089          1567.804508842584         1479.554899633741         -1.629570367371381        7.176745231564571         0.6772411716493963        214.9040156509727         
30538.00370528707         6716.803917306265         2277.407094987419         1539.500959056594         -2.345006378732987        6.974985816890038         0.5184016190393763        315.1024213875644         
30538.00415410399         6620.627013608804         2546.025201431532         1558.387962020205         -2.614666664931529        6.877464914841022         0.4556068738086795        353.8802030961961         
30538.00457634302         6520.676726531725         2795.103797518029         1573.923204344283         -2.864135749117777        6.776072059684187         0.3959921609554461        390.3616550378501         
30538.0050194256          6406.095016047333         3052.314139453728         1587.877675099221         -3.121163296457487        6.659807494889964         0.3329644478680877        428.6439905175939         
30538.00606179439         6098.494041500145         3638.444554348017         1611.137877946619         -3.704615361868557        6.347649809297798         0.1833245606039992        518.7046538922004         
30538.00722285577         5695.873371143888         4255.241250979773         1621.118501443641         -4.315077092470118        5.939121198295564         0.01560792377563996       619.0203571342863         
30538.00839462933         5229.809477959401         4833.084624436707         1614.145723638267         -4.883479084191928        5.466347177910959         -0.1531239579990566       720.2615922200494         
30538.00957745358         4703.693766017809         5364.916597886902         1589.882404847943         -5.403268452101992        4.932757563840273         -0.3211968765196216       822.4576080101542         
30538.01075961688         4127.773284593361         5839.319248568587         1548.657695766518         -5.86371703754335         4.348636185609778         -0.4852377267640192       924.5965169509873         
30538.01194003943         3508.964795292013         6251.165604396982         1491.045430983988         -6.26030155218734         3.720796239346238         -0.6434853769056212       1026.585025317036         
30538.01311316461         2857.242283894331         6595.053223280928         1418.143755935183         -6.588242110906644        3.059077469010004         -0.7937203065922626       1127.943040849641         
30538.01427028957         2185.218158038898         6866.96321779             1331.723797574576         -6.844121327067695        2.375959329988592         -0.9336148958862637       1227.918637369294         
30538.015454953           1474.334856283589         7073.292862050855         1229.250033637412         -7.034127918100435        1.652161359922228         -1.066923606941766        1330.273557384498         
30538.01659132246         777.6354786999322         7200.714452387249         1118.652207272932         -7.146271120733192        0.9413010515338687        -1.184149912766701        1428.455879143439         
30538.01777013615         46.98058893552029         7258.57651663359          992.3653448325915         -7.188889651210853        0.193813030130114         -1.293558716753698        1530.305382027291         
30538.0188725475          -636.9144046364659        7243.607182980196         864.7674737773558         -7.160327555859265        -0.5080623932026671       -1.383667309599867        1625.553722516634         
30538.02003757277         -1353.14412129116         7155.269557130813         721.267328891296          -7.058340493385924        -1.245888817257097        -1.465141947166553        1726.211905607488         
30538.02121187084         -2060.934210096813        6991.578904020315         569.0855245521232         -6.88156318519024         -1.978342684619258        -1.532114366767346        1827.671259292401         
30538.02238378851         -2745.71117812392         6755.010130156792         411.2381256224816         -6.632446345238814        -2.690754502706787        -1.583041139154938        1928.924945276231         
30538.02356172527         -3404.951912687775        6445.794024899088         248.2241338093126         -6.310896374949515        -3.380839885617783        -1.617593748243277        2030.698681308422         
30538.02473899271         -4027.607209420026        6068.210542823122         82.65777300857539         -5.920970218905821        -4.037308886087864        -1.634984467789397        2132.414588180836         
